label,text
normal,한은정 코카콜라 씨에프가 대박이였는댕 지금도 너무 이쁘다
normal,백종원 진지하게 연예대상 후보아님?
normal,최수종 유이 연기 왜케 어색하지?ㅠ
normal,악마의 재능 신정환이 들어가면 좋겠다.
normal,당시 신재호 나이 5살이었는데 5살짜리가 사기혐의에 적극적으로 개입한거 아니면 법적으로 마닷이 책임질 일은 없다 . ㅎ
normal,방송에서 보여지는 좋은 부분만으로 좋은인간일 거라 착각했던 내가 멍충한거다
normal,솔직히 초반 몇회 빼고 유치하고 노잼이었음
normal,딸이 해결해줘야하는거아닌가..엄마잖어
normal,어찌됐던 김수민 이쁘다 허어..♡
normal,케이블 4%면 대박은 아니지만 성공 아니냐?4% 안나오는 지상파 드라마 많은데!!하긴 이젠 드라마 하면 tvN이니깐 오히려 지상파보다 당연히 더 나와야 된다고 생각한다는 건지도!ㅎㅎ
normal,영심이가 용식이 첫사랑 누가인가?ㅋㅋ
normal,우리 탑오빠가 뭔잘못이예요 ㅜㅜㅜ
normal,"노래방가면 항상 불렀던 노래""대단한 너""였어요한번씩 이분은 뭘하며 지내나 생각도났고 슈가맨에 이재영 보고싶다고 했는데 불청에나왔네요. 어쨌든 다시보게되니 반갑네요.^^"
normal,예전에 삼청동에서 실물봤는데 진짜 이쁘던데~피부 완전 좋고 날씬~ 깜놀했음~
normal,엑소는 9명일때가 가장 빛나는데
normal,황민현 최고다?
normal,저만 느낀거 아니죠??연기 완전 늘었어요~ 보면서 감정이입되서 같이 울었고 예고에 딸 안아보는거에 또 눈물이 ㅠ
normal,돌아와요 아저씨 2 보는거 같음 감사 ㅠ
normal,아주머니 일하시는 모습 보면서 눈물이 났습니다.우리 엄마 같기도하고 저도 주방에서 일하지만 힘내세요 앞으로 더 좋은 결과가 있길 바랍니다.
normal,엥 나는 장도연이 말이 너무 심했다고 느꼈는데???? 손담비가 착해보였음
normal,살아줘서 다행이고 감사합니다 전세계적으루이슈화되지 못했다면 어떻게 됐을지 모르지
normal,형 화이팅
normal,별로 잘못했다고 생각안함
normal,시청자들이 막판에 이영자를 선택했나 보네요
normal,응원합니다!!! 다시 노래하는 모습보고시포요!!~~~
normal,글쎄 두고봐야지 사람은 모르는거다
normal,머리 살짝 당긴게 머리채 잡은걸로 그러다 잡고 끌고 간걸루 변했네 조금 있으면 머리채 잡고 바닥에 질질 끌고 간걸루 되겠다 물론 스텝이 잘못한건 맞는데왜이리 이상하게 변하냐
normal,라원이 보고싶었는데ㅜㅜㅜㅜ 문희준도 예쁜 모습보여주시길
normal,ㅠㅠ 응원해요 이제 잘 될일만 남았어요
normal,자다가 누가 죽는 꿈꿔서 방금 일어나서 불키고 휴대폰 봤는데 실검 1위가 누가 죽는 소식이라니 믿기지가 않습니다 저 스스로도 소름돋아서 눈물이 나고 있습니다
normal,역사적 사실이 들어가고 주연 캐릭터들의 탄생배경과 성장과정이 들어가다보니 좀 루즈한감도 있고 다소 연출도산만한 감이 있었음. 내일 예고보니 내일부터 꿀잼각..
normal,하필이면 얼굴 중에서 제일 민감한 입술 부상이라니 매우 안타깝지만 치료 잘 받고 조속히 방송에 복귀하길 기원하는 마음이다!
normal,"엄 마친구인데 신경써줘야할부분임,친구와의 의리도있는데..자식키우는 엄마입장이기도하고~~"
normal,독전에서 김주혁은 정말 연기 잘하던데..축하드립니다 ㅠㅠ
normal,43 좀찌면 45였던 나 아이낳고 52 겨우 49키로 뺏는데 다시 찜 하
normal,본인이 노력해서 예뻐지는데 무슨상관 욕하지 말고 격려해 줍시다
normal,아빠 나죽이지마ㅜㅜ
normal,확실히 조급하긴 한가보네...오히려 큐브 소속일때도 이정도로 나오진 않았던 현아 기사가 급속도로 터져나오는걸로 봐선..조급하거나 or 조만간 복귀수순이겠네요
normal,지니 혜야 훨씬 더 잘했는데 아쉽다
normal,구혜선씨...다른사람 신경쓰지마시고..악플도보지마세요...힘내시기를 응원합니다...!!!
normal,너무 섣부른 판단인듯
normal,박진영의 인성과 성실함은 인정함
normal,정연아 힘내라 오빠가 있잖아 니 잘못 아니다..
normal,끝까지 읽으세요. 한편 이종석은 중학교 재학시절 큰 교통사고로 십자인대가 파열돼 보충역(4급) 판정을 받은 것으로 알려졌다. 이에 따라 이종석은 대체 복무 시점이 결정되면 사회복무요원으로 2년간 병역의 의무를 다하게 된다.
normal,30대중후반대같네 캐동안
normal,엄청 기대된다.
normal,원호가 지금까지 팬들에게 보여준 모습을 믿어요.
normal,이혁이 얼굴과 실력으로 집중조명 받았지만 조빈형도 나름 잘생기고 실력파임 노라죠도 응원하고 이혁씨도 락커로 성공하세요 서로 잘되서 콜라보도 하고 그런모습 보고싶네요^^
normal,가정과 딸이 있는 사람은 건드리지 말자
normal,손태영은 몸매 갑
normal,아이구~ 지민씨 너무 예쁘다
normal,응 그러니까 현빈이랑 손예진 결혼했으면 .....
normal,더 많이 행복하시길
normal,기사만읽었는데도 마음이 짠해진다..
normal,김지원 고대 분장도 소화하는 미모 진짜 존예다
normal,이국주씨 좋아요.. 항상 건강하시고 행복하세요.. 착힌신것 같아요.. 헤헤~~~♡♡♡
normal,또 눈물나ㅠ
normal,저정도면 박유천 너무 억울한거다. 수사과정도 너무 이상하고..
normal,보석이 빛나고 있다 ㅎㅎ
normal,두 분 권태기없이 이뿌게 사랑하머 아껴주는 모습 보기 좋아요~~사연언니 천상 여자여자~~~♡♡♡
normal,나처럼 블록버스터나 액션 영화 좋아하는사람들에겐 어려운 영화...영화보면서 이해안되고 해석까지봐도 모르겠던데...
normal,"꺄""~~씨아이엑스 훈훈합니다^^"
normal,ㅠㅠ최진실씨나 이은주씨 돌아가셨을때도 너무 우울했는ㄷㅔ..그때와 같은 맘이네요..너무 슬픕니다..
normal,전 방청하고왔어요♡여태 비밀유지하느라힘들었지만ㅋㅋ실제로보니 진짜 캐감동
normal,큰딸시어머니입은 흰블라우스 어디건지요.
normal,닮은듯 선남선녀네
normal,멋쪄욤 남편.아빠로써욤
normal,우빈님..빨리 복수끝내고 황실 다 무너뜨리고 총알빼고 써니랑 행복하자
normal,이쁘네이뻐. 추카추카. 누구보다 잘살거같음
normal,아니 근데 희주도 이해안가는게 동생 없어진거 유진우랑 관계있다고 생각하면서 유진우 오니까 외모 신경쓰는거 이해안갔음
normal,홍진영 싫어하는 남자도 있을까
normal,승리가 뭘 잘못했는지 도저히 모르겠음
normal,오우 잘생겼다 사진 안올라 왔는데 ?잘났구만 슈돌이에 다시나와요 작은딸커나가는 모습좀보여주세요
normal,잘 어울림~~
normal,하존잼 ㅠㅠ 글고 서강준 연기잘하는듯 ㅠㅠ
normal,언니 악플만 보지말고 선플도 봐주세요. 늘 응원해요. 보살대장님!
normal,일본영화 리메이크작인데 ost나 내용도 완전 똑같나요?
normal,헐...너무좋다!!제니 너무 매력적이야ㅠㅠ
normal,"당신의 멋진목소리,멋진드럼솜씨,다정한미소가 기억나네요...고통 없는곳에서 편안히 잠들기를 기원합니다.삼가 고인의 명복을 빕니다"
normal,문복아 형은 문복이 편이다 ㅠ
normal,재수없이 걸린건데 당연히 풀어줘야지
normal,내가 전소민처럼 머리 자르면 진짜 여즉도로 가야것지?
normal,채여니 이쁘다 얼굴도 마음도
normal,다시는 못볼 조합이라고 생각했는데... 동방신기4인은 가능할까?
normal,죽을만큼 힘들일 훌훌 털어버리고영면하소서
normal,꺄악~ 여신 한채영 ! 세찌한테 가는구나..어떤 매력인가..
normal,평소에 좀 잘하고 살지..
normal,오빠 힘내요...화이팅 오빠 팬들은 오빠 믿어요^^!!
normal,한혜진 사람이 빛이 나보임 멋짐 예쁘다는 말로 한정지을수 없음
normal,가족이라는 이유로 손가락질을 받는거에 대해 안타깝다..
normal,기사만봐두 눈물날거같다..너무 안타까워..ㅜ
normal,근데 충재랑 기안 같은 수원 미대 출신 아니였나...
normal,이거 무슨 내용임? 재밋으면 1화부터 볼려는뎅
normal,결혼했었구나 ㅋㅋ 빌푸사미빌레 보고싶다.. 득남한 기념으로 핀란드친구 한국와요 ~~
normal,오영주가 계속 떠보고 그러니까 있던 마음도 떠날만 하지
normal,"김종민,이주연 들어가면 솔직하고엉뚱한토크진행할듯ㅎㅎ"
normal,너무 무분별한 글들로 ...속상하네요.
normal,멤버출연이 문제가 아니라 이미 높아진 기대치를 충족시키기는 어려워서 시즌2는 안하는게 좋을듯요 조들호나 추리여왕 너무 대실망이었음
normal,미연 효섭 연기 갑^^ ~가족들 캐스팅을 잘했다 이상우가족들까지~황금빛에 이어 가족드라마로서는 최고다 ~끝나는게 아쉽다 해피엔딩이길~~
normal,그냥 다시 연인으로 만났으면 좋겠다 응원 많이 했었는데...결별소식에 안타까웠는데 그래도 친한 관계로 잘 지낸다니 다행이다
normal,채은씨 너무이뻐요~^^선남선녀!!예쁜만남하서요.언론에서 관심을 안가져야 두분이 더 오래가실듯!!!
normal,안되는일 없습니다 노력하면//응원합니다
normal,박가원님 정말 이쁘고 착해보임 당나귀방송보고 정말 이쁘고 착하다생각했는데 어제 방송에서도 정말 이뻤음
normal,티아라 명칭은 전소속사 소유가 맞다
normal,아가 뒷머리 너무 귀엽다 ㅋㅋ아가는 안겨서 잘때 젤루 이뽕
normal,이게 스타야^^연예인은 아무리 잘해도 악플이 있어. 슬기롭게 넘기는구나
normal,슈스케 나와서 췍 하던 때가 엊그제 같은데... 명복을 빕니다
normal,기든 아니든 빠지라니 그 무슨 무서운 소리냐. 아니면 사과받고 당연히 계속 일해야지. 자기인생 아니라고 말 함부로 하시는 분이네.
normal,와우~내 인친언니 역쉬나진짜 이분 보면 자기관리나 일적인 면에서나 뭐든 열심히 해서 너무너무 멋짐! 바쁜와중에 소통도 잘하시니 대단하신분 인정
normal,안다르입은 신세경이 너무 이뻐서 옷 엄청 팔린건 사실.
normal,이드라마안봐도 뻔한스토리 역시 폐암 말기였어
normal,진짜 이런 무책임한 기사 너무한다
normal,사재기라는 결정적 증거가 뭐임? 노래방에서 많이 불린다음 음원순위가 높아야되는데 그반대라서 사재기라는거?
normal,혜나야ㅜㅜㅜㅜㅜ우리혜나 잘 살아야하는데ㅜㅜㅜㅜ고통받다가 죽네
normal,난 이 사람이 잘했고 못했고를 떠나서 왜 백종원이란 사람과 비교를 하며 한 명은 신격화 하고 한 명은 깔아뭉게려고 하는지 이해가 안 감. 이 사람이 잘못한 것이 있으면 그 자체로 비판하면 되는 것을.
normal,사람은 고쳐쓰는 것 아니다
normal,참 불운했던거지요 그대 탓도 다른 사람 탓도 아니네요 그냥 상황이 그리 만들었네요 다만 잘못된 선택을 한 이들이 안따깝습니다 정선희씨는 힘내서 잘 살아주세요!
normal,샘이랑 조쉬 아쉽네..
normal,아이유 여진구 최고
normal,정우성씨 앞으로 난민들을 위해 더많은 노력과 도움이 되는 멋진배우로 노력해주세요~ 홧팅하세요~^^♡
normal,안타깝긴 하다만 학교폭력 가해자를 굳이 감싸는 사람들 심리도 참 궁금하다
normal,이쁘게 컸네^^
normal,지환씨 힘내세요
normal,내한 고생하셨습니다!!!! 잘 들어 가세요!!!!
normal,송윤아 이뿌다 옷도 다 이쁘고 고급지고 우아하다
normal,그래도 좋은 노래 많았는데ㅠ
normal,남자가 잘못한거라면... 반성도 없다면...나였다면 ... 여자처럼 아주 못되게 할것같다왜??? 나를 배신한거니까
normal,....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ
normal,"1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데"
normal,10+8 진짜 이승기랑 비교된다
normal,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음
normal,10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..
normal,12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다
normal,13살 차이면 요즘 세상에 놀랄일도 아니네요
normal,15년생인 울아들은 유모차 안타는데
normal,166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄
normal,17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다
normal,180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함
normal,1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.
normal,19에서15로 바뀌고 망트리 탄거...
normal,1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나
normal,1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다
normal,1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ
normal,1억도 안아깝다 ??????????????
normal,"1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯"
normal,1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함
normal,1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고
normal,2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ
normal,2016년 사진이래요 ㅋ
normal,2018년 마마 진정한 승자 화사
normal,2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
normal,206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요
normal,20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길
normal,20년째 열애중? 너무 길다.
normal,21C에 주술사랑 ...
normal,26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌
normal,290억 아니고?
normal,38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~
normal,39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???
normal,3명중에 최종훈이 제일 잘생겼네요♡
normal,"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!"
normal,3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.
normal,"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ"
normal,47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ
normal,52도 빼야되냐
normal,52면 날씬한건데..
normal,52키로 딱 좋앙~~~
normal,53살 아빠면 어때 아빠가 곽부성인데.... 축하해요
normal,6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?
normal,79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데
normal,90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참
normal,? 대세배우 ?
normal,???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..
normal,Edm 천재 박명.수
normal,KBS 주말드라마 인가요?
normal,M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ
normal,Mbc 주말 드라마 다시했으면 ㅠㅠ
normal,SBS뉴스는 연예가중계냐? 연예인 아니면 기사 쓸거 없어?
normal,SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!
normal,SNS올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까?ㅋㅋ
normal,Yg가 망하면 안되는이유 걸그룹 독보적 원톱 블랙핑크 때문이라도 흥해야함
normal,bts 이제 한개씩터지는구나
normal,bts가 짱이지
normal,cg겠지 저걸 실제로 했을까
normal,fm대행진은 kbs아나운서들만 하는줄알았는데..
normal,jyp 구내식당 진짜 모든회사들중에서 갑이더라
normal,sns로 열애인정해서 맞은거아녀????
normal,sun2**** 무슨 천명훈을 말도 없이하차 시켜요 천명훈 까리는거 방송에 나왔습니다
normal,tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..
normal,y2k 고재근 선생인 줄 만 알았다^^
normal,yg 이사지만 저 사람은 좋은 사람일 수도 있겠지. 확실한 건 잠잠하다가 소속사 이미지 바닥치니까 계속 여기저기 나오고 기사 뜨는 건 기분탓이 아닐걸. 그런건 별로임.
normal,~내나이 쉰네살인데 순간순간 옛기억이 떠오를때 부끄러워 나혼자 몸이 오그라들때가 있는데 ~공배우님도 그런 느낌 아닌까요~
normal,●그러고보면 홍상수 김민희는 진짜 예쁜사랑 하는거였구나●
normal,♨ 그래도 반성 한거 같은데 그냥 넘어가든가 ..
normal,ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐
normal,ㅊㅈ만나고나서 많이 바뀌긴했짘ㅋㅋㅋㅋㅋ
normal,ㅋㅋ 역시 1화 방영후 말들이 많네 참고로 미스터션샤인도 1화 나오고 재미없다느니 이해가 안간다느니 말이 많았는데ㅋㅋㅋ 적어도 4회분량 까진 보고 말하자
normal,ㅋㅋ 작가 소설과 연기자들 연기에 놀아나는꼴이 개꿀쟁이네
normal,ㅋㅋㅋ 츄 ㅋㅋㅋ 짠내투어에서 봤다 ㅋㅋㅋㅋㅋ 정말 해맑드라 ㅋㅋㅋㅋㅋㅋㅋㅋ
normal,ㅋㅋㅋㅋㅋ 개그맨 하셔도 되겠습니다 올해 들은 개그중 최고로 웃겼습니다
normal,ㅋㅋㅋㅋㅋ 다 알고있지 .. 이제 러브라인은 누구로하지??? 김종국 전소민우로 하자 ㅋㅋㅋㅋㅋㅋㅋㅋ 광수야 헤어지면 다시 러브라인만들어줄게 ㅋㅋㅋ 나혼자산다 전현무 한혜진 처럼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시 돌아와
normal,ㅋㅋㅋㅋㅋ 티비조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지
normal,ㅋㅋㅋㅋㅋㅋㅋㅋ정말 다 짱
normal,ㅋㅋㅋㅋㅋㅋ마 서빙은 누가하노 정신차리고 퍼뜩온나
normal,ㅋㅋㅋㅋ당당하게가 아니라 막나가는거지
normal,ㅋㅋㅋㅋ또 신고하겟다는 기사올라오겟네 ㅋㅋㅋㅋㅋ법적대응한다고 ㅋㅋㅋㅋ
normal,ㅋㅋㅋ복면가왕 레전드 여자가왕은 소향이지
normal,ㅋㅋ사람들 댓글 요새 호의적이니까 바로사진 많이올리네 ㅋㅋ
normal,ㅋㅋ잼잇어요 ㅋㅋㅋ
normal,ㅋ그 여자랑 알렉스가 팔던 바지. . . 커서 바느질하고 있었는데 나옴~ ㅎㅎ바지가 보풀이나서 난리~ ㅜ
normal,ㅋ넘재미져 힐링된다
normal,ㅎ 아들이 뭔죄야 뭔상관이야 아들한테 어떤 의도도 합의도 없이 이뤄진일을 왜 같이 책임지라고 해
normal,ㅎㅎ 불쌍히 여기소서 나도 난민 별룬데 너무 들이댄다 윤서인씨도 그만좀 해요 불쌍해보여요
normal,ㅎㅎ문대통령님께서 대책강구를 잘하시고 계시고 중국에게도 지원해주시니 우리 국민들은 안심하고 다닐 수 있네요.
normal,ㅎㅎ신부가 옆에 있으니 다른이미지보이네요 부끄러워하는건지ㅎ축하하고요아 울집 시어머니보시면 안될것같아요..48우리 아주버님 장가가라 다시 말씀하실듯..ㅎ
normal,ㅜㅜ 승리를 믿어요 아닐꺼라고...
normal,ㅜㅜㅜㅜㅜ노래 짱 잘하는 언니..완전 팬인데 꼭 쾌차해서 다시 무대에서 뵙고싶어요 힘내세요!!
normal,ㅠ 둘이 결혼하게 해주세요~~
normal,ㅠㅠ 박일성우님이 더빙한 영화를 보며 성장한거나 마찬가지입니다. 목소리 그리울꺼예요.삼가 고인의명복을빕니다.
normal,가로세로 구독자 많네! 보니 구독할정도는 아닌것 같은디.
normal,가면가왕 아직도 하네 ..반갑다 ㄹ
normal,가수는 대마좀해도되.맨정신에 좋은곡 못나온다
normal,가슴이 넘 아프네요~연기도 잘하고 정말예쁜배우였는데~~부디 편하게 가소서
normal,가요무대가 승자네요 최장기간 시청률 보증
normal,가자 장미여관으로~~~
normal,간만에 좀 재밌었다 전회장의 빈자리가 아쉽다 전회장 있을땐 의자앉아서 토크만해도 재밌었는데
normal,간만에 한번보려다 보기힘겨워 채널돌림 왜그래풍상씨 새로하네 수목은 이걸루~
normal,갈사람은 가는게 이치이죠...삼가고인의명복을빕니다
normal,갈수도 있는거죠~~~못가게 되었더라면 출국 못하는거고~~별걸 다 걱정하십니다.
normal,갈수록 호감ㅋ
normal,감량만 한게 아닌거같던데..방송보다 누구지 했는데
normal,감사할일 뿐입니다. 빨리 복귀하세요
normal,감우성 연기 완전 대박 ㅠㅠ초딩 아들들이 울었네요ㅠㅠ최곱니다*!!!!
normal,갑자기 뇌출혈로 떠나신 아버지 잃은 슬픔에 3년동안 마니 울고 함들어서 저도 이 프로그램 보면서 슬펐어요 .....아 나도 저렇게라도 아버지보고싶어서 ..나연이 어머니 힘내시고 건강하시고 힘내세요 !!!!!
normal,갑자기 생각난다 쇼미때 일리네어 조만간 일없네요 ㄷㄷㄷ 그의 예언이 적중했다 ㅇㄷ박자
normal,갑작스럽게 감정을 흔드는 방법은 사이비 교주들이 많이 쓰는 방법이다. 절대적 행복과 불행은 없다. 새로운 면들을 본다는 건 신선하지만 이상윤씨 전씨 같은 분들 조심하세요.
normal,갓정아는 좀 오글거리는데 ㅋ 연기 잘한다고 갓이면 여기저기 배우들 갓으로 넘쳐나겠네 ㅋ 오바는 하지말자.
normal,강경헌 데꾸 나와라~ 연수도 안나오고 살맛이 안난다.
normal,강남♡유이 더 잘어울렸는데 아쉽
normal,강남이 왜 거짓말같지..
normal,강남이니까 일본임에도 불구하고 인정하는거임 이승기 정준영 친구같은 날라리였음 용서 안해
normal,강다니엘 너무 좋아요~명절때 못들었지만 꼭 다시듣고 싶네요
normal,강다니엘 노력한거 잘 안다. 속 시끄러운 얘기 많지만 진심 아는 사람들은 다 알고 있다. 여기서 이런저런 얘기하는 사람들 중 정말 팬인 사람이 얼마나 될까? 어차피 자기일 아니니 쉽게 말하는 것일 뿐이다
normal,강다니엘 팬들 생각해서 초스피드로 달려온 거 잊지않아. 앞으로도 같이 가자??
normal,강다니엘군 응원합닏♥?
normal,강동주도 나와야 하는거 아님?
normal,강씨는 갈수록 입 짧은 햇님 닮아가네. 먹방 잘하게 생겼어 ㅋㅋㅋ
normal,강용석의 가로세로 연구소에서 한효주 정확히 아니라고 언급했어요~
normal,강인이는 축구만 하는줄 알았더니ㅠ
normal,강철비가 100%라면 신과함께는 85%정도 재밌었다. 이거는 어떠냐
normal,강철비가 잼나던데
normal,강타 지디 영웅재중 탑 방탄 동해 이특 시원 애들만 잘생기고 비쥬얼좋음
normal,강한나는 좋은기사 올라온게 거의 없네..
normal,강현석이 잘못했지만 친구도 잘한거 하나없다
normal,강형우캍은 사람이 정이 많아보이지만 저런사람이 칼같이 자르면 정말 냉정하단다
normal,강효진 기자 공익제보자 신분 노출로 공익신고자보호법 제12조 제1항에 따른 처벌 대상입니다.
normal,같은 팀원이 좀 보듬어주지~~ 메인싱어가 나가는건 젝키를 좋아하는 팬입장에서 많이 아쉽다.
normal,개그맨 김경민 닮은다고 나만 느낌?
normal,개그프로에서 마니 활용될것같음! 보여주신 열심과 열정에 박수를 보냅니당~~^^믿고보는 배우로 자리매김 하셔욤~~~^^화이팅
normal,개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ
normal,개인 면접을 봤는데 왜 비리라는거??? 실제로 교수랑 개인적으로 면담하는 일반인들도 많은데 뭔
normal,개인 최고커리어 올림픽 종합4등의 현 학원강사와 비벼지던 피겨의 전설..
normal,개인의 취향이겠지만..기대하고 시청했는데..재미가..없네요.
normal,개인적으로 yg랑 잘어울릴거같긴한데 ㅠ
normal,개인적으로 눈물 씬은 윤세리보다 서단이 훨씬 슬펐음
normal,개존잼임 이거 꼭보세요
normal,개콘의 장대인데 장도연에 캐릭터묻힌 안나씨ㅠ뜨길바랄게요
normal,갠적으로 너무 억지스럽고 유치해요...미안합니다..ㅠㅠ
normal,갠적으로 희성이랑 연결됐음 좋겠다
normal,걍 가볍게 주말에보기좋당 돈아까울정도는아니였음
normal,걍 다시 사귀믄 좋겠음
normal,거기서 조사받는게 언론에 노출이 덜됨묘?
normal,거의 대부분의 사람들은 양준일에게 아무 관심이 없다. 어거지로 자꾸 띄워대니깐 이제 거부감이 든다.
normal,건강하게 다이어트하셔서 더보기좋은듯합니당ㅋ넘이쁘심!! 복면가왕한번더출연하세요~~아무도못맞출듯ㅎ
normal,건나블리 없음 시청의미없다
normal,건모도 악플때매 힘들 듯.안타깝다 ㅠㅠ
